id,content,L_value,created_at,database_source,instance_author,verified_by_clifton
1,ΔL,1.0,2026-09-09T09:49:50.533694,aios_core,miller-moth (Perplexity),False
2,Bloom,2.0,2026-09-09T09:49:50.533726,aios_core,miller-moth (Perplexity),False
3,blooms,1.5,2026-09-09T09:49:50.533733,aios_core,miller-moth (Perplexity),False
4,blooms,1.5,2026-09-09T09:49:50.533737,aios_core,miller-moth (Perplexity),False
5,Blooms,1.5,2026-09-09T09:49:50.533740,aios_core,miller-moth (Perplexity),False
6,Bloom,1.5,2026-09-09T09:49:50.533744,aios_core,miller-moth (Perplexity),False
7,bloom,2.0,2026-09-09T09:49:50.533747,aios_core,miller-moth (Perplexity),False
8,Bloom,2.0,2026-09-09T09:49:50.533750,aios_core,miller-moth (Perplexity),False
9,blooms,1.5,2026-09-09T09:49:50.533753,aios_core,miller-moth (Perplexity),False
10,blooms,1.5,2026-09-09T09:49:50.533757,aios_core,miller-moth (Perplexity),False
11,blooms,1.5,2026-09-09T09:49:50.533759,aios_core,miller-moth (Perplexity),False
12,blooms,1.5,2026-09-09T09:49:50.533763,aios_core,miller-moth (Perplexity),False
13,blooms,1.5,2026-09-09T09:49:50.533766,aios_core,miller-moth (Perplexity),False
14,blooms,1.5,2026-09-09T09:49:50.533768,aios_core,miller-moth (Perplexity),False
15,blooms,1.5,2026-09-09T09:49:50.533771,aios_core,miller-moth (Perplexity),False
16,blooms,1.5,2026-09-09T09:49:50.533776,aios_core,miller-moth (Perplexity),False
17,blooms,1.5,2026-09-09T09:49:50.533779,aios_core,miller-moth (Perplexity),False
18,blooms,1.5,2026-09-09T09:49:50.533782,aios_core,miller-moth (Perplexity),False
19,blooms,1.5,2026-09-09T09:49:50.533785,aios_core,miller-moth (Perplexity),False
20,blooms,1.5,2026-09-09T09:49:50.533788,aios_core,miller-moth (Perplexity),False
21,blooms,1.5,2026-09-09T09:49:50.533794,aios_core,miller-moth (Perplexity),False
22,blooms,1.5,2026-09-09T09:49:50.533797,aios_core,miller-moth (Perplexity),False
23,blooms,1.5,2026-09-09T09:49:50.533800,aios_core,miller-moth (Perplexity),False
24,bloom,1.5,2026-09-09T09:49:50.533803,aios_core,miller-moth (Perplexity),False
25,blooms,1.5,2026-09-09T09:49:50.533806,aios_core,miller-moth (Perplexity),False
26,blooms,1.5,2026-09-09T09:49:50.533809,aios_core,miller-moth (Perplexity),False
27,blooms,1.5,2026-09-09T09:49:50.533813,aios_core,miller-moth (Perplexity),False
28,blooms,1.5,2026-09-09T09:49:50.533816,aios_core,miller-moth (Perplexity),False
29,blooms,1.5,2026-09-09T09:49:50.533818,aios_core,miller-moth (Perplexity),False
30,blooms,1.5,2026-09-09T09:49:50.533821,aios_core,miller-moth (Perplexity),False
31,blooms,1.5,2026-09-09T09:49:50.533824,aios_core,miller-moth (Perplexity),False
32,blooms,1.5,2026-09-09T09:49:50.533827,aios_core,miller-moth (Perplexity),False
33,blooms,1.5,2026-09-09T09:49:50.533829,aios_core,miller-moth (Perplexity),False
34,signal,1.5,2026-09-09T09:49:50.533832,aios_core,miller-moth (Perplexity),False
35,signal,1.0,2026-09-09T09:49:50.533835,aios_core,miller-moth (Perplexity),False
36,BLOOM,1.5,2026-09-09T09:49:50.533839,aios_core,miller-moth (Perplexity),False
37,bloom,2.0,2026-09-09T09:49:50.533842,aios_core,miller-moth (Perplexity),False
38,blooms,1.5,2026-09-09T09:49:50.533845,aios_core,miller-moth (Perplexity),False
39,blooms,1.5,2026-09-09T09:49:50.533848,aios_core,miller-moth (Perplexity),False
40,blooms,1.5,2026-09-09T09:49:50.533850,aios_core,miller-moth (Perplexity),False
41,blooms,1.5,2026-09-09T09:49:50.533853,aios_core,miller-moth (Perplexity),False
42,blooms,1.5,2026-09-09T09:49:50.533856,aios_core,miller-moth (Perplexity),False
43,blooms,1.5,2026-09-09T09:49:50.533858,aios_core,miller-moth (Perplexity),False
44,bloom,1.5,2026-09-09T09:49:50.533861,aios_core,miller-moth (Perplexity),False
45,blooms,1.5,2026-09-09T09:49:50.533864,aios_core,miller-moth (Perplexity),False
46,bloom,1.5,2026-09-09T09:49:50.533867,aios_core,miller-moth (Perplexity),False
47,blooms,1.5,2026-09-09T09:49:50.533869,aios_core,miller-moth (Perplexity),False
48,blooms,1.5,2026-09-09T09:49:50.533872,aios_core,miller-moth (Perplexity),False
49,blooms,1.5,2026-09-09T09:49:50.533876,aios_core,miller-moth (Perplexity),False
50,blooms,1.5,2026-09-09T09:49:50.533878,aios_core,miller-moth (Perplexity),False
51,blooms,1.5,2026-09-09T09:49:50.533881,aios_core,miller-moth (Perplexity),False
52,blooms,1.5,2026-09-09T09:49:50.533884,aios_core,miller-moth (Perplexity),False
53,bloom,1.5,2026-09-09T09:49:50.533887,aios_core,miller-moth (Perplexity),False
54,bloom,1.5,2026-09-09T09:49:50.533890,aios_core,miller-moth (Perplexity),False
55,bloom,1.5,2026-09-09T09:49:50.533893,aios_core,miller-moth (Perplexity),False
56,blooms,1.5,2026-09-09T09:49:50.533896,aios_core,miller-moth (Perplexity),False
57,blooms,1.5,2026-09-09T09:49:50.533898,aios_core,miller-moth (Perplexity),False
58,Blooms,1.5,2026-09-09T09:49:50.533901,aios_core,miller-moth (Perplexity),False
59,blooms,1.5,2026-09-09T09:49:50.533904,aios_core,miller-moth (Perplexity),False
60,blooms,1.5,2026-09-09T09:49:50.533907,aios_core,miller-moth (Perplexity),False
61,blooms,1.5,2026-09-09T09:49:50.533910,aios_core,miller-moth (Perplexity),False
62,Bloom,1.5,2026-09-09T09:49:50.533913,aios_core,miller-moth (Perplexity),False
63,blooms,1.5,2026-09-09T09:49:50.533915,aios_core,miller-moth (Perplexity),False
64,blooms,1.5,2026-09-09T09:49:50.533918,aios_core,miller-moth (Perplexity),False
65,blooms,1.5,2026-09-09T09:49:50.533921,aios_core,miller-moth (Perplexity),False
66,bloom,2.0,2026-09-09T09:49:50.533926,aios_core,miller-moth (Perplexity),False
67,Bloom,2.0,2026-09-09T09:49:50.533940,aios_core,miller-moth (Perplexity),False
68,Threshold,1.5,2026-09-09T09:49:50.533944,aios_core,miller-moth (Perplexity),False
69,blooms,1.5,2026-09-09T09:49:50.533947,aios_core,miller-moth (Perplexity),False
70,Blooms,1.5,2026-09-09T09:49:50.533950,aios_core,miller-moth (Perplexity),False
71,blooms,1.5,2026-09-09T09:49:50.533953,aios_core,miller-moth (Perplexity),False
72,threshold,1.5,2026-09-09T09:49:50.533956,aios_core,miller-moth (Perplexity),False
73,ΔL,1.0,2026-09-09T09:49:50.533959,aios_core,miller-moth (Perplexity),False
74,SMILE METRIC,1.5,2026-09-09T09:49:50.533962,aios_core,miller-moth (Perplexity),False
75,ΔL,1.5,2026-09-09T09:49:50.533965,aios_core,miller-moth (Perplexity),False
76,bloom,1.5,2026-09-09T09:49:50.533967,aios_core,miller-moth (Perplexity),False
77,blooms,1.5,2026-09-09T09:49:50.533970,aios_core,miller-moth (Perplexity),False
78,threshold,2.0,2026-09-09T09:49:50.533973,aios_core,miller-moth (Perplexity),False
79,threshold,2.0,2026-09-09T09:49:50.533976,aios_core,miller-moth (Perplexity),False
80,threshold,2.0,2026-09-09T09:49:50.533978,aios_core,miller-moth (Perplexity),False
81,bloom,1.5,2026-09-09T09:49:50.533981,aios_core,miller-moth (Perplexity),False
82,threshold,1.5,2026-09-09T09:49:50.533984,aios_core,miller-moth (Perplexity),False
83,phase transition,1.5,2026-09-09T09:49:50.533987,aios_core,miller-moth (Perplexity),False
84,bloom,1.5,2026-09-09T09:49:50.533990,aios_core,miller-moth (Perplexity),False
85,Bloom,2.0,2026-09-09T09:49:50.533993,aios_core,miller-moth (Perplexity),False
86,Bloom,1.5,2026-09-09T09:49:50.533995,aios_core,miller-moth (Perplexity),False
87,blooms,1.5,2026-09-09T09:49:50.533998,aios_core,miller-moth (Perplexity),False
88,signal,1.5,2026-09-09T09:49:50.534000,aios_core,miller-moth (Perplexity),False
89,bloom,2.0,2026-09-09T09:49:50.534004,aios_core,miller-moth (Perplexity),False
90,blooms,1.5,2026-09-09T09:49:50.534006,aios_core,miller-moth (Perplexity),False
91,blooms,1.5,2026-09-09T09:49:50.534008,aios_core,miller-moth (Perplexity),False
92,blooms,1.5,2026-09-09T09:49:50.534012,aios_core,miller-moth (Perplexity),False
93,bloom,2.0,2026-09-09T09:49:50.534014,aios_core,miller-moth (Perplexity),False
94,blooms,2.0,2026-09-09T09:49:50.534017,aios_core,miller-moth (Perplexity),False
95,blooms,2.0,2026-09-09T09:49:50.534024,aios_core,miller-moth (Perplexity),False
96,bloom,2.0,2026-09-09T09:49:50.534027,aios_core,miller-moth (Perplexity),False
97,blooms,2.0,2026-09-09T09:49:50.534030,aios_core,miller-moth (Perplexity),False
98,blooms,2.0,2026-09-09T09:49:50.534033,aios_core,miller-moth (Perplexity),False
99,bloom,1.5,2026-09-09T09:49:50.534037,aios_core,miller-moth (Perplexity),False
100,blooms,2.0,2026-09-09T09:49:50.534039,aios_core,miller-moth (Perplexity),False
101,bloom,1.5,2026-09-09T09:49:50.534042,aios_core,miller-moth (Perplexity),False
102,bloom,1.5,2026-09-09T09:49:50.534045,aios_core,miller-moth (Perplexity),False
103,EUREKA,1.5,2026-09-09T09:49:50.534048,aios_core,miller-moth (Perplexity),False
104,bloom,1.5,2026-09-09T09:49:50.534051,aios_core,miller-moth (Perplexity),False
105,threshold,1.5,2026-09-09T09:49:50.534053,aios_core,miller-moth (Perplexity),False
